key|name|plural|description
pressure-sensor|pressure sensor|pressure sensors|can be classified in terms of pressure ranges they measure, temperature ranges of operation, and most importantly the type of pressure they measure
Python|Python|Pythons|an interpreted high-level programming language for general-purpose programming
quaternion|quaternion|quaternions|a number system that extends the complex numbers, they are very useful in describing a rotation involving three dimensions
radiation|radiation|radiations|an electromagnetic radiation generated by the thermal motion of charged particles in matter. All matter with a temperature greater than absolute zero emits thermal radiation
reeb-graph|Reeb graph|Reeb graphs|a mathematical object reflecting the evolution of the level sets of a real-valued function on a manifold
refrigerant|refrigerant|refrigerants|a substance or mixture, used in heat pumps to transport heat energy
resistor|resistor|resistors|a passive two-terminal electrical component that implements electrical resistance as a circuit element
Sankey diagram|Sankey diagram|Sankey diagrams|a specific type of flow diagram, in which the width of the arrows is shown proportionally to the flow quantity
sedimentation|sedimentation|sedimentations|the opposite of erosion
silt|silt|silts|a granular material of a size between sand and clay
slurry|slurry|slurries|describe a mixture that consist of both solid and fluid phases
soft-iron|soft iron|soft irons|a result of material that distorts the magnetic field of magnetometer, but does not necessarily generate its own magnetic field
solvent|solvent|solvents|a substance that dissolves a solute, such as a chemically distinct liquid, solid or gas, resulting in a solution
tooltip|tooltip|tooltips|a popup window, containing additional information. It appears when a mouse pointer hoovers over a designated area
trapezoidal-rule|Trapezoidal rule|Trapezoidal rules|a technique for approximating the definite integral
traveling-salesman-problem|traveling salesman|traveling salesmans|asks the following question: ``Given a list of cities and the distances between each pair of cities, what is the shortest possible route that visits each city exactly once and returns to the origin city?'' It is an NP-hard problem in combinatorial optimization, important in operations research and theoretical computer science
umbilical|umbilical|umbilicals|a electronic cable connecting an underwater vehicle
vast-cell|VAST-cell|VAST-cells|a cell located in a vast open space
voronoi-diagram|Voronoi diagram|Voronoi diagrams|a partition of a plane into regions close to each of a given set of objects
word|word|words|a string of bits representing a value which is stored in memory
